Product ID,Name,$ Price:,Quantity,Category,Description,Production Date,Expiration Date,Rating,Status
47,Соевый напиток,4836,732,Напитки,Отличается легкостью в переваривании и усвоении организмом.,2026-01-15,2026-01-15,1.16,Awaiting Review
48,Антрекот,8534,249,Мясо,Является важным компонентом рациона для поддержания гормонального баланса.,2010-11-02,2010-11-02,0.57,Returned
49,Крахмал картофельный,7843,698,Бакалея,Отличается легкостью в переваривании и усвоении организмом.,2021-05-10,2021-05-10,3.62,Returned
50,Катык,7936,625,Молочные продукты,"Отличается высоким содержанием меди, необходимой для синтеза коллагена и эластина.",2025-01-01,2025-01-01,2.14,Returned
51,Сгущенное молоко,8103,370,Бакалея,"Отличается высоким содержанием пикногенола, мощного антиоксиданта, полезного для кожи и сосудов.",2028-10-04,2028-10-04,4.66,Shipping
52,Партенит,2540,855,Напитки,Часто рекомендуется врачами-диетологами как часть здорового питания.,2026-02-02,2026-02-02,3.06,Refunded
53,Хамон,548,220,Мясо,Помогает улучшить работу мозга и повысить концентрацию внимания.,1997-01-02,1997-01-02,3.14,New
54,Пакеты для бассейна,8767,551,Товары для дома,"Обладает приятным вкусом и мягкой текстурой, что делает его популярным выбором среди потребителей.",2004-11-04,2004-11-04,0.53,Awaiting Payment
55,Спаржа,3745,164,Овощи,Отличается низкой калорийностью и высоким содержанием белка.,2027-01-01,2027-01-01,1.98,Sold
56,Петрушка корневая,7287,762,Овощи,"Помогает поддерживать нормальный уровень мелатонина, гормона сна.",2029-04-11,2029-04-11,1.39,In Stock
57,Гречка,7790,999,Бакалея,Помогает предотвратить развитие остеопороза благодаря высокому содержанию кальция.,2020-01-07,2020-01-07,3.41,Returned
58,Сельдерей сушеный,3032,463,Бакалея,"Помогает поддерживать нормальный уровень кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2010-01-07,2010-01-07,3.02,Refunded
59,Таганрогская,954,302,Напитки,Прошел тестирование на отсутствие ГМО и вредных химических соединений.,2020-03-02,2020-03-02,2.62,Sold
60,Салфетки сухие,3522,258,Товары для дома,Помогает поддерживать нормальный уровень холестерина в крови.,2025-01-01,2025-01-01,1.63,Awaiting Review
61,Мята перечная сушеная,2941,949,Бакалея,Отличается высокой эффективностью в борьбе с анемией благодаря содержанию железа.,2010-04-12,2010-04-12,3.78,Awaiting Payment
62,Куриные голени,2413,132,Мясо,"Помогает поддерживать нормальный уровень гамма-аминомасляной кислоты (GABA), успокаивающего нейромедиатора.",2026-02-26,2026-02-26,4.68,Refunded
63,Папайя,2144,742,Фрукты,"Отличается высоким содержанием хлорогеновых кислот, веществ, способствующих снижению веса и контролю уровня сахара в крови.",2030-04-12,2030-04-12,2.43,Available for Pickup
64,Катык,3516,977,Молочные продукты,"Отличается высоким содержанием пантотеновой кислоты, необходимой для метаболизма жиров, белков и углеводов.",2027-04-06,2027-04-06,1.15,Out of Stock
65,Камчатская,3530,557,Напитки,"Отличается высоким содержанием хлорогеновых кислот, веществ, способствующих снижению веса и контролю уровня сахара в крови.",2027-10-01,2027-10-01,4.05,Cancelled
66,Творог,3107,320,Молочные продукты,"Подходит для использования в диетах, направленных на снижение веса.",2023-03-01,2023-03-01,4.29,Delivered
67,Манго,8848,435,Фрукты,"Отличается высоким содержанием витаминов группы D, необходимых для здоровья костей и иммунитета.",2028-05-13,2028-05-13,1.03,New
68,Полотенца кухонные,7871,776,Товары для дома,Представляет собой ценный источник питательных веществ для растущего организма.,2018-01-01,2018-01-01,1.31,Pending
69,Индюшатина,5992,543,Мясо,"Помогает поддерживать нормальный уровень сапонинов, веществ, способствующих снижению уровня холестерина.",2013-01-13,2013-01-13,0.07,Awaiting Review
70,Киви,3739,69,Фрукты,Способствует улучшению работы пищеварительной системы.,2026-08-03,2026-08-03,2.96,Available for Pickup
71,Козлятина,5876,404,Мясо,"Отличается высоким содержанием лютеолина, флавоноида, обладающего противовоспалительными свойствами.",2017-03-03,2017-03-03,0.66,Refunded
72,Огурец,9774,408,Овощи,"Обладает антиоксидантными свойствами, защищающими клетки от повреждений.",2022-06-02,2022-06-02,2.12,Pending
73,Кукуруза консервированная,1910,56,Бакалея,Отличается высокими показателями усвояемости организмом.,2024-01-01,2024-01-01,0.14,Backorder
74,Fantastic,1008,189,Напитки,Придает блюдам особую нежность и насыщенность.,2030-05-02,2030-05-02,2.67,New
75,Вологодская,5359,437,Напитки,"Помогает поддерживать нормальный уровень апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2017-01-01,2017-01-01,2.8,Cancelled
76,Камамбер,2384,349,Молочные продукты,"Отличается высоким содержанием тиамина, необходимого для нормального функционирования нервной системы.",2018-04-24,2018-04-24,3.73,Returned
77,Катык,5026,469,Молочные продукты,"Подходит для людей всех возрастов, включая детей и пожилых.",2027-03-05,2027-03-05,2.59,Pending
78,Чеснок,3290,19,Овощи,"Помогает поддерживать нормальный уровень адреналина, гормона стресса и возбуждения.",2026-05-07,2026-05-07,3.45,On Backorder
79,Яблоко,7064,771,Фрукты,Отличается высокой питательностью и способен быстро утолить голод.,2014-04-12,2014-04-12,4.8,Pending
80,Пакеты для подарков,5455,859,Товары для дома,Подходит для использования в рационе людей с повышенным давлением.,2012-09-25,2012-09-25,1.74,Cancelled
81,Ливерная колбаса,442,573,Мясо,"Отличается высоким содержанием капсаицина, вещества, ускоряющего метаболизм и уменьшающего боль.",2002-07-19,2002-07-19,2.0,Shipping
82,Буженина,1301,605,Мясо,"Отличается высоким содержанием фолиевой кислоты, необходимой для формирования новых клеток.",2029-04-07,2029-04-07,2.91,Temporarily Unavailable
83,Бурятская,3087,755,Напитки,Отличается легкостью в переваривании и усвоении организмом.,2028-01-02,2028-01-02,0.68,Sold
84,Косуля,7121,688,Мясо,"Помогает поддерживать нормальный уровень ацетилхолина, нейромедиатора, ответственного за память и обучение.",2019-01-07,2019-01-07,3.33,Temporarily Unavailable
85,Виноград,8104,633,Фрукты,Отличается высокой питательной ценностью и помогает поддерживать здоровый образ жизни.,2014-11-05,2014-11-05,3.02,Pending
86,Перец болгарский,6118,19,Овощи,Отличается хорошим сочетанием с различными специями и приправами.,2021-01-10,2021-01-10,4.21,Temporarily Unavailable
87,Пакеты для конференции,4141,845,Товары для дома,Помогает поддерживать нормальный уровень гормонов в организме.,2018-01-14,2018-01-14,0.3,In Stock
88,Крахмал картофельный,5744,860,Бакалея,"Помогает поддерживать нормальный уровень глутатиона, главного антиоксиданта организма.",2008-01-01,2008-01-01,2.35,Shipping
89,Пажитник сушеный,9301,43,Бакалея,Отличается низкой калорийностью и высоким содержанием белка.,2017-02-06,2017-02-06,4.68,Available for Pickup
90,Папайя,2322,848,Фрукты,Подходит для использования в специализированных диетах и лечебных программах.,2022-05-09,2022-05-09,4.96,On Backorder
91,Мате,8243,825,Напитки,"Отличается высоким содержанием фтора, необходимого для здоровья зубов и костей.",2011-01-16,2011-01-16,1.74,Pending
92,Пахта,728,214,Молочные продукты,"Производится из высококачественного сырья, что гарантирует его безопасность и пользу для здоровья.",2020-05-09,2020-05-09,1.09,Delivered
93,Лук-порей,6948,919,Овощи,Помогает поддерживать нормальное функционирование печени и желчного пузыря.,2025-03-08,2025-03-08,3.46,Pending
94,Пакеты для походов,7447,400,Товары для дома,Помогает сохранять бодрость и активность в течение дня.,2029-05-07,2029-05-07,3.73,Returned
95,Кориандр молотый,3479,174,Бакалея,"Отличается высоким содержанием калия, необходимого для нормальной работы сердца.",2007-01-01,2007-01-01,2.98,Refunded
96,Лавровый лист сушеный,477,925,Бакалея,Помогает поддерживать нормальный уровень кислотности желудка.,2020-07-02,2020-07-02,1.1,Backorder
97,Рамбутан,4818,858,Фрукты,Отличается высокой усвояемостью и не вызывает дискомфорта в желудке.,2011-03-19,2011-03-19,3.32,Out of Stock
98,Виноград,4536,704,Фрукты,Помогает поддерживать нормальный уровень глюкозы в крови.,2012-06-13,2012-06-13,0.18,Awaiting Payment
99,Калужская,7531,366,Напитки,"Отличается высоким содержанием кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2010-01-19,2010-01-19,0.4,Awaiting Review
100,Шубат,4873,827,Молочные продукты,"Помогает поддерживать нормальный уровень аллицина, вещества, обладающего антибактериальными и противогрибковыми свойствами.",2008-04-03,2008-04-03,2.94,Refunded
101,Фета,5667,773,Молочные продукты,Поддерживает иммунитет и общее состояние здоровья.,2001-04-14,2001-04-14,1.35,Sold
102,Coca-Cola Zero,4967,846,Напитки,Способствует улучшению работы пищеварительной системы.,2028-05-22,2028-05-22,0.64,Refunded
103,Айва,2591,630,Фрукты,"Помогает поддерживать нормальный уровень танинов, веществ, обладающих вяжущими и антисептическими свойствами.",2016-01-12,2016-01-12,3.6,Shipping
104,Кунжут черный,6456,76,Бакалея,"Помогает поддерживать нормальный уровень генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",2022-04-03,2022-04-03,3.95,Awaiting Payment
105,Мед,7477,990,Бакалея,Может использоваться в косметических процедурах для увлажнения кожи.,2012-03-02,2012-03-02,1.06,Returned
106,Полотенца банные,2342,932,Товары для дома,Прошел клинические испытания и рекомендован специалистами в области здравоохранения.,2027-07-05,2027-07-05,0.98,Refunded
107,Доктор Пеппер,2296,345,Напитки,Отвечает всем современным стандартам качества и безопасности.,2025-01-01,2025-01-01,0.4,Awaiting Review
108,Тыква,9220,634,Овощи,"Отличается высоким содержанием ресвератрола, вещества, обладающего антивозрастными свойствами.",2010-09-04,2010-09-04,4.3,New
109,Пироги с мясом,9228,974,Мясо,Помогает поддерживать нормальный уровень энергии и выносливости.,2007-07-08,2007-07-08,1.58,Cancelled
110,Конфи,3176,836,Мясо,"Отличается высоким содержанием L-карнозина, аминокислоты, полезной для мышц и мозга.",2030-04-16,2030-04-16,1.12,New
111,Дыня,4062,639,Фрукты,Помогает предотвратить развитие остеопороза благодаря высокому содержанию кальция.,2026-02-01,2026-02-01,2.06,Available for Pickup
112,Шпинат,6356,689,Овощи,Отличается низкой калорийностью и высоким содержанием белка.,2013-04-03,2013-04-03,3.21,New
113,Ливерная колбаса,4833,966,Мясо,"Отличается высоким содержанием ресвератрола, вещества, обладающего антивозрастными свойствами.",2023-04-13,2023-04-13,1.5,Awaiting Review
114,Редис,3312,964,Овощи,"Отличается высоким содержанием фолиевой кислоты, необходимой для формирования новых клеток.",2012-11-07,2012-11-07,3.93,Backorder
115,Слива,4386,432,Фрукты,"Помогает поддерживать нормальный уровень ацетилхолина, нейромедиатора, ответственного за память и обучение.",2026-02-05,2026-02-05,3.43,Pending
116,Растительное масло льняное,2430,617,Бакалея,"Отличается высоким содержанием генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",2018-02-06,2018-02-06,3.17,Cancelled
117,Сосиски,6490,590,Мясо,Может использоваться в детском питании начиная с раннего возраста.,2007-01-11,2007-01-11,2.28,Awaiting Payment
118,Эмменталь,7852,267,Молочные продукты,"Помогает поддерживать нормальный уровень мелатонина, гормона сна.",1997-01-14,1997-01-14,4.66,Delivered
119,Шумовки,9123,674,Товары для дома,Помогает улучшить работу мозга и повысить концентрацию внимания.,2023-07-09,2023-07-09,1.0,Backorder
120,Сергиево-Посадская,5388,763,Напитки,"Помогает улучшить состояние волос, ногтей и кожи.",2022-01-23,2022-01-23,2.53,Returned
121,Туалетная бумага,1535,173,Товары для дома,Может быть использован в качестве заменителя менее полезных продуктов.,2022-01-20,2022-01-20,2.38,Pending
122,Косулятина,6428,967,Мясо,Помогает предотвратить развитие остеопороза благодаря высокому содержанию кальция.,2011-02-02,2011-02-02,3.7,Shipping
123,Амурская,1933,732,Напитки,Отличается низким содержанием насыщенных жиров и холестерина.,2002-02-10,2002-02-10,4.44,Available for Pickup
124,Айран,6695,658,Молочные продукты,Поддерживает иммунитет и общее состояние здоровья.,2025-03-01,2025-03-01,0.08,Backorder
125,Катык,5979,56,Молочные продукты,"Отличается высоким содержанием ресвератрола, вещества, обладающего антивозрастными свойствами.",2024-02-03,2024-02-03,2.44,Shipping
126,Репа,9598,383,Овощи,"Отличается высоким содержанием фосфора, необходимого для здоровья зубов и костей.",2005-07-01,2005-07-01,1.04,Backorder
127,Клюква,7160,929,Фрукты,"Помогает поддерживать нормальный уровень дигидротестостерона, гормона, отвечающего за половое созревание у мужчин.",2015-03-02,2015-03-02,2.23,Cancelled
128,Мед,8323,662,Бакалея,"Помогает поддерживать нормальный уровень апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2025-03-15,2025-03-15,0.75,Temporarily Unavailable
129,Каша из дробленной овсянки,3511,150,Бакалея,Помогает поддерживать здоровый цвет лица и упругость кожи.,2024-02-04,2024-02-04,4.09,Temporarily Unavailable
130,Паштет,246,682,Мясо,"Отличается высоким содержанием даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",2014-04-19,2014-04-19,0.9,Awaiting Payment
131,Горох,6802,531,Овощи,"Помогает поддерживать нормальный уровень кортизола, гормона стресса.",2026-01-02,2026-01-02,3.8,In Stock
132,Пакеты для уборки,8139,3,Товары для дома,Помогает поддерживать нормальный уровень сахара в крови.,2014-09-04,2014-09-04,1.83,Sold
133,Нектарин,3956,782,Фрукты,Прошел проверку на соответствие экологическим нормам и стандартам.,1996-03-06,1996-03-06,0.37,Pending
134,Молоко,4921,465,Молочные продукты,"Производится из высококачественного сырья, что гарантирует его безопасность и пользу для здоровья.",2024-01-08,2024-01-08,2.28,Cancelled
135,Йогурт,4119,727,Молочные продукты,Помогает снизить риск развития сердечно-сосудистых заболеваний.,1998-01-16,1998-01-16,4.7,Returned
136,Эмменталь,7956,628,Молочные продукты,Может быть использован в выпечке для придания ей особой пышности и аромата.,1998-04-11,1998-04-11,1.45,Awaiting Payment
137,Севастопольская,5329,879,Напитки,"Отличается высоким содержанием антоцианов, пигментов, обладающих антиоксидантными и противовоспалительными свойствами.",2030-02-10,2030-02-10,4.8,Pending
138,Пастила,785,577,Бакалея,Помогает поддерживать здоровье нервной системы благодаря содержанию магния.,2029-03-02,2029-03-02,4.48,Available for Pickup
139,Карбонад,8610,728,Мясо,Помогает поддерживать нормальный обмен веществ и метаболизм.,2012-03-18,2012-03-18,1.94,Shipping
140,Пакеты для Нового года,1457,272,Товары для дома,Может использоваться в косметических процедурах для увлажнения кожи.,2004-01-24,2004-01-24,4.82,Shipping
141,Засоленное мясо,5499,958,Мясо,Прошел клинические испытания и рекомендован специалистами в области здравоохранения.,2027-04-19,2027-04-19,4.62,Out of Stock
142,Каша из пшеницы спельты,8883,106,Бакалея,Рекомендуется для включения в рацион беременных женщин и кормящих матерей.,2020-01-14,2020-01-14,4.95,On Backorder
143,Горох,8385,524,Овощи,"Популярен среди спортсменов и людей, ведущих активный образ жизни.",2012-03-04,2012-03-04,4.95,Delivered
144,Фенхель,4508,76,Овощи,"Подходит для использования в диетах, направленных на снижение веса.",2021-01-24,2021-01-24,0.13,Out of Stock
145,Глинтвейн,8929,176,Напитки,Помогает поддерживать нормальный уровень эстрогенов у женщин.,2007-07-16,2007-07-16,3.66,In Stock
146,Зира молотая,6084,438,Бакалея,"Отличается высоким содержанием антиоксидантов, защищающих клетки от окислительного стресса.",2011-08-05,2011-08-05,4.17,Refunded
147,Щавель,273,984,Овощи,Помогает поддерживать нормальный уровень глюкозы в крови.,2028-04-03,2028-04-03,4.6,Pending
148,"Специи (перец, куркума, зира)",3881,528,Бакалея,"Отличается высоким содержанием мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2023-01-04,2023-01-04,3.9,Backorder
149,Южно-Сахалинская,2836,355,Напитки,"Отличается высоким содержанием эвгенола, вещества, обладающего обезболивающими и антисептическими свойствами.",2029-04-05,2029-04-05,3.89,Returned
150,Груша,6813,617,Фрукты,"Помогает поддерживать нормальный уровень нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",2029-05-21,2029-05-21,4.22,New
151,Творог,8382,450,Молочные продукты,"Популярен среди спортсменов и людей, ведущих активный образ жизни.",2016-04-02,2016-04-02,4.99,Available for Pickup
152,Апельсин,841,765,Фрукты,Помогает улучшить работу мозга и повысить концентрацию внимания.,1998-06-11,1998-06-11,2.12,Cancelled
153,Баклажан,2711,238,Овощи,Отличается высокой степенью очистки и отсутствия посторонних примесей.,2030-04-02,2030-04-02,3.54,Available for Pickup
154,Читинская,6758,150,Напитки,Прошел проверку на соответствие экологическим нормам и стандартам.,2023-02-03,2023-02-03,3.49,Shipping
155,Хурма,2138,361,Фрукты,Прошел сертификацию на соответствие требованиям органических стандартов.,2029-01-14,2029-01-14,3.6,Refunded
156,Базилик сушеный,3552,759,Бакалея,Отличается простотой в использовании и хранении.,2003-03-06,2003-03-06,4.14,Awaiting Review
157,Окорок,7137,151,Мясо,Помогает поддерживать здоровье глаз и зрение благодаря содержанию витамина A.,2022-02-04,2022-02-04,4.18,In Stock
158,Кондиционер для белья,422,11,Товары для дома,Помогает поддерживать нормальный уровень тестостерона у мужчин.,2002-07-15,2002-07-15,4.73,Awaiting Review
159,Доски разделочные,7599,815,Товары для дома,Отличается высокой питательностью и способен быстро утолить голод.,2022-01-18,2022-01-18,3.37,Shipping
160,Чеддер,5768,469,Молочные продукты,Подходит для людей с непереносимостью лактозы благодаря специальной обработке.,2023-01-19,2023-01-19,1.32,Returned
161,Мыло твердое,7809,787,Товары для дома,"Отличается высоким содержанием альфа-липоевой кислоты, мощного антиоксиданта.",2000-02-12,2000-02-12,3.46,Awaiting Review
162,Пиво безалкогольное,4777,151,Напитки,"Отличается низким содержанием жира, что делает его подходящим для тех, кто следит за фигурой.",2018-04-08,2018-04-08,4.21,Temporarily Unavailable
